startup_id,startup_name,industry,country,founding_year,founders_count,initial_funding_usd,total_funding_usd,revenue_last_year_usd,employee_count,burn_rate_usd,market_competition,years_operated,customer_rating,reason_for_failure,status
S00046,Startup_46,HealthTech,India,2023,4.0,,12000000.0,,120.0,90000.0,high,7,,Strong competition,Success
S00047,Startup_47,Fintech,Germany,2012,,,1000000.0,-100000.0,50.0,150000.0,low,7,,Poor financial planning,Failed
S00048,Startup_48,Transport,UK,2018,5.0,,,3094396.0,10.0,,low,11,4.5,Strong competition,Failed
S00049,Startup_49,E commerce,Australia,2010,3.0,300000.0,12000000.0,-100000.0,50.0,,low,10,,High burn rate,Success
S00050,Startup_50,Ed-tech,India,2015,1.0,1500000.0,200000.0,,300.0,90000.0,High,11,4.5,Strong competition,Success
S00051,Startup_51,RealEstate,UK,2018,,,200000.0,,25.0,,high,6,3.0,,failed
S00052,Startup_52,Transport,Canada,2015,,800000.0,1000000.0,7914619.0,3.0,,Medium,6,1.5,Founder conflict,Success
S00053,Startup_53,Ed-tech,U.S.A,2021,2.0,1500000.0,1000000.0,-100000.0,10.0,300000.0,low,11,1.5,Bad marketing,Success
S00054,Startup_54,FoodTech,india,2020,5.0,,12000000.0,7563150.0,300.0,300000.0,high,6,1.5,Regulatory issues,Failed
S00055,Startup_55,Health Tech,india,2017,4.0,50000.0,200000.0,-100000.0,120.0,150000.0,Low,13,2.3,,failed
S00056,Startup_56,SaaS,india,2020,2.0,50000.0,1000000.0,-100000.0,,90000.0,high,7,,Cash flow issues,Failed
S00057,Startup_57,EdTech,Canada,2015,5.0,300000.0,200000.0,11629601.0,3.0,40000.0,low,3,4.5,Cash flow issues,failed
S00058,Startup_58,SaaS,U.S.A,2016,,800000.0,200000.0,26815543.0,10.0,150000.0,Medium,6,,Regulatory issues,failed
S00059,Startup_59,SaaS,USA,2016,1.0,300000.0,,12621897.0,25.0,150000.0,High,12,1.5,High burn rate,Success
S00060,Startup_60,Ecommerce,USA,2023,1.0,800000.0,12000000.0,,,40000.0,high,1,1.5,Poor financial planning,failed
S00061,Startup_61,RealEstate,U.S.A,2023,,300000.0,5000000.0,11736361.0,120.0,,Medium,2,1.5,Bad marketing,Failed
S00062,Startup_62,Travel,India,2023,2.0,300000.0,5000000.0,,10.0,150000.0,low,8,3.0,Lack of market demand,failed
S00063,Startup_63,Fintech,Australia,2023,2.0,100000.0,5000000.0,-100000.0,,,Medium,14,3.0,Founder conflict,Success
S00064,Startup_64,AI,Australia,2022,3.0,800000.0,12000000.0,,300.0,150000.0,High,11,3.8,Bad marketing,Success
S00065,Startup_65,Travel,U.S.A,2019,5.0,1500000.0,,4359159.0,3.0,90000.0,high,13,4.5,Bad marketing,failed
S00066,Startup_66,FoodTech,Germany,2022,3.0,100000.0,,-100000.0,300.0,40000.0,low,7,4.5,Strong competition,Failed
S00067,Startup_67,AI,UK,2012,3.0,,,4326902.0,50.0,300000.0,Medium,3,3.8,Poor financial planning,failed
S00068,Startup_68,E commerce,Germany,2014,2.0,1500000.0,,,25.0,,high,1,2.3,Founder conflict,Failed
S00069,Startup_69,Ed-tech,india,2010,1.0,100000.0,200000.0,11677805.0,5.0,90000.0,high,7,2.3,Strong competition,failed
S00070,Startup_70,Fintech,Germany,2020,1.0,800000.0,1000000.0,-100000.0,50.0,90000.0,high,13,2.3,,Failed
S00071,Startup_71,RealEstate,India,2019,4.0,300000.0,12000000.0,-100000.0,10.0,,Medium,4,2.3,Poor financial planning,failed
S00072,Startup_72,AI,UK,2020,5.0,,1000000.0,-100000.0,10.0,90000.0,high,15,,Strong competition,Success
S00073,Startup_73,Agritech,UK,2021,1.0,800000.0,12000000.0,-100000.0,25.0,,high,15,,Strong competition,Failed
S00074,Startup_74,FoodTech,Canada,2014,2.0,100000.0,,6875505.0,3.0,40000.0,high,9,3.0,Bad marketing,Success
S00075,Startup_75,Ed-tech,Australia,2015,5.0,50000.0,12000000.0,,5.0,300000.0,High,3,3.0,High burn rate,Success
S00076,Startup_76,AI,Australia,2023,3.0,50000.0,12000000.0,,120.0,40000.0,Medium,6,,Poor financial planning,Failed
S00077,Startup_77,Health Tech,USA,2010,,,5000000.0,,,300000.0,Medium,3,2.3,Founder conflict,failed
S00078,Startup_78,Travel,Germany,2021,4.0,100000.0,,-100000.0,300.0,150000.0,high,3,3.0,,Failed
S00079,Startup_79,RealEstate,U.S.A,2020,,50000.0,1000000.0,15950892.0,25.0,90000.0,low,6,3.8,,Failed
S00080,Startup_80,FinTech,Australia,2015,4.0,,200000.0,7986961.0,50.0,90000.0,Low,3,3.8,Founder conflict,failed
S00081,Startup_81,Ed-tech,Germany,2018,2.0,100000.0,5000000.0,,,40000.0,high,10,3.8,Poor financial planning,failed
S00082,Startup_82,Travel,UK,2011,2.0,,12000000.0,,5.0,150000.0,Medium,7,3.0,Bad marketing,failed
S00083,Startup_83,SaaS,India,2010,2.0,100000.0,12000000.0,,25.0,40000.0,low,8,1.5,,failed
S00084,Startup_84,Energy,UK,2013,2.0,50000.0,200000.0,-100000.0,,,high,5,,Lack of market demand,Failed
S00085,Startup_85,RealEstate,Germany,2018,5.0,100000.0,1000000.0,-100000.0,25.0,150000.0,Low,14,3.8,Poor financial planning,Success
S00086,Startup_86,RealEstate,india,2012,2.0,100000.0,200000.0,-100000.0,25.0,150000.0,High,10,3.8,Cash flow issues,failed
S00087,Startup_87,FinTech,india,2019,5.0,50000.0,,-100000.0,120.0,40000.0,Medium,11,2.3,Poor financial planning,failed
S00088,Startup_88,Transport,Germany,2017,5.0,,5000000.0,-100000.0,120.0,150000.0,high,10,,Poor financial planning,failed
S00089,Startup_89,SaaS,india,2018,5.0,300000.0,1000000.0,,5.0,90000.0,Medium,11,3.8,Cash flow issues,failed
S00090,Startup_90,Energy,U.S.A,2020,4.0,,1000000.0,,3.0,90000.0,Medium,3,4.5,Founder conflict,Failed
S00091,Startup_91,E commerce,U.S.A,2012,5.0,1500000.0,12000000.0,-100000.0,25.0,40000.0,High,12,,,failed
S00092,Startup_92,E commerce,UK,2013,1.0,800000.0,5000000.0,11343880.0,300.0,300000.0,low,15,1.5,,Failed
S00093,Startup_93,RealEstate,UK,2023,5.0,800000.0,1000000.0,11002055.0,120.0,,low,10,,Cash flow issues,Success
S00094,Startup_94,Transport,india,2022,4.0,,200000.0,,3.0,,High,7,1.5,Founder conflict,failed
S00095,Startup_95,HealthTech,UK,2015,,100000.0,5000000.0,8141571.0,25.0,300000.0,High,1,1.5,,Success
S00096,Startup_96,SaaS,india,2018,2.0,,1000000.0,,,,low,4,1.5,Regulatory issues,Success
S00097,Startup_97,AI,USA,2020,,300000.0,200000.0,,25.0,,Medium,4,2.3,Lack of market demand,Success
S00098,Startup_98,Health Tech,Canada,2022,5.0,300000.0,200000.0,8145656.0,3.0,150000.0,Low,15,3.0,Strong competition,Success
S00099,Startup_99,Agritech,India,2022,1.0,,5000000.0,-100000.0,300.0,90000.0,Low,14,3.0,Bad marketing,failed
S00100,Startup_100,Ecommerce,U.S.A,2017,1.0,50000.0,200000.0,28087508.0,5.0,300000.0,high,4,4.5,,failed
S00101,Startup_101,FinTech,Germany,2015,,100000.0,1000000.0,-100000.0,10.0,,low,11,,Poor financial planning,Failed
S00102,Startup_102,Health Tech,Australia,2010,1.0,300000.0,,,300.0,300000.0,Low,2,2.3,Bad marketing,failed
S00103,Startup_103,EdTech,Canada,2018,,1500000.0,5000000.0,,50.0,90000.0,Medium,13,2.3,Bad marketing,Failed
S00104,Startup_104,Health Tech,USA,2017,2.0,800000.0,12000000.0,-100000.0,300.0,150000.0,Low,9,4.5,Poor financial planning,failed
S00105,Startup_105,FinTech,USA,2017,,100000.0,1000000.0,,10.0,300000.0,High,14,3.0,Founder conflict,Success
S00106,Startup_106,Health Tech,USA,2019,5.0,300000.0,5000000.0,,300.0,150000.0,High,4,4.5,Cash flow issues,failed
S00107,Startup_107,RealEstate,india,2016,,50000.0,5000000.0,28985861.0,50.0,300000.0,low,4,3.8,Strong competition,Success
S00108,Startup_108,Ecommerce,UK,2018,,300000.0,1000000.0,10541681.0,50.0,40000.0,high,6,2.3,Regulatory issues,failed
S00109,Startup_109,AI,UK,2010,3.0,1500000.0,,-100000.0,25.0,300000.0,high,3,3.0,Poor financial planning,Failed
S00110,Startup_110,Fintech,Germany,2017,2.0,50000.0,200000.0,,10.0,300000.0,low,2,2.3,Bad marketing,Success
S00111,Startup_111,FinTech,UK,2011,2.0,100000.0,,-100000.0,3.0,40000.0,High,4,3.8,Bad marketing,failed
S00112,Startup_112,Energy,UK,2021,4.0,800000.0,200000.0,-100000.0,50.0,90000.0,high,10,,High burn rate,failed
S00113,Startup_113,FinTech,UK,2012,2.0,300000.0,1000000.0,16781718.0,300.0,90000.0,Low,10,3.8,,Failed
S00114,Startup_114,Agritech,UK,2022,1.0,100000.0,,-100000.0,120.0,40000.0,Medium,6,,Cash flow issues,Success
S00115,Startup_115,Agritech,Australia,2020,4.0,50000.0,,,,90000.0,Medium,14,3.8,Strong competition,failed
S00116,Startup_116,RealEstate,india,2011,,100000.0,1000000.0,1498560.0,25.0,90000.0,Low,7,3.0,Founder conflict,failed
S00117,Startup_117,HealthTech,India,2014,5.0,300000.0,12000000.0,22359283.0,3.0,150000.0,high,7,,,Failed
S00118,Startup_118,Agritech,Australia,2022,4.0,800000.0,1000000.0,24865528.0,5.0,300000.0,High,6,2.3,Cash flow issues,failed
S00119,Startup_119,FinTech,U.S.A,2012,5.0,,200000.0,,120.0,,Low,10,2.3,Poor financial planning,failed
S00120,Startup_120,Ed-tech,Australia,2023,5.0,50000.0,5000000.0,,300.0,40000.0,High,9,1.5,High burn rate,failed
S00121,Startup_121,Health Tech,Canada,2011,5.0,100000.0,200000.0,-100000.0,,,High,3,3.0,Poor financial planning,Failed
S00122,Startup_122,Transport,Canada,2019,2.0,1500000.0,1000000.0,26619088.0,,300000.0,Medium,1,2.3,Poor financial planning,Failed
S00123,Startup_123,SaaS,India,2015,3.0,1500000.0,200000.0,,10.0,150000.0,Low,6,3.0,,Failed
S00124,Startup_124,Fintech,USA,2020,,,,,50.0,90000.0,low,12,3.0,Lack of market demand,Failed
S00125,Startup_125,Agritech,Germany,2023,3.0,,12000000.0,-100000.0,120.0,300000.0,Low,13,3.8,Bad marketing,Success
S00126,Startup_126,HealthTech,U.S.A,2018,2.0,1500000.0,5000000.0,16584006.0,50.0,150000.0,High,2,2.3,Bad marketing,Failed
S00127,Startup_127,EdTech,india,2021,1.0,,1000000.0,11973286.0,300.0,40000.0,high,1,,Bad marketing,failed
S00128,Startup_128,Ed-tech,Germany,2010,2.0,1500000.0,1000000.0,6044961.0,3.0,,Medium,13,1.5,Lack of market demand,Failed
S00129,Startup_129,Fintech,Germany,2017,4.0,300000.0,1000000.0,10818593.0,10.0,300000.0,Medium,14,4.5,Strong competition,Failed
S00130,Startup_130,Health Tech,USA,2010,5.0,,,,10.0,300000.0,low,7,3.8,Cash flow issues,Success
S00131,Startup_131,E commerce,USA,2020,2.0,50000.0,12000000.0,25830810.0,25.0,,High,15,3.0,,Success
S00132,Startup_132,RealEstate,Australia,2022,5.0,800000.0,12000000.0,10473998.0,10.0,300000.0,high,12,2.3,Strong competition,failed
S00133,Startup_133,Transport,india,2018,2.0,800000.0,5000000.0,11839042.0,120.0,40000.0,High,13,3.8,Strong competition,Failed
S00134,Startup_134,FoodTech,india,2015,,800000.0,,-100000.0,120.0,40000.0,Medium,7,3.8,Regulatory issues,failed
S00135,Startup_135,AI,Canada,2014,3.0,1500000.0,12000000.0,29877413.0,,150000.0,high,2,3.0,High burn rate,Success
S00136,Startup_136,Ecommerce,USA,2013,,1500000.0,5000000.0,-100000.0,300.0,40000.0,high,13,2.3,Bad marketing,Failed
S00137,Startup_137,Fintech,India,2017,1.0,300000.0,200000.0,-100000.0,10.0,150000.0,Medium,15,3.0,Founder conflict,failed
S00138,Startup_138,HealthTech,UK,2019,1.0,300000.0,5000000.0,17322401.0,300.0,300000.0,Low,15,2.3,,Success
S00139,Startup_139,Agritech,Canada,2012,4.0,300000.0,,-100000.0,3.0,40000.0,High,4,4.5,Bad marketing,Success
S00140,Startup_140,E commerce,UK,2016,,,,,300.0,40000.0,Low,1,1.5,,Success
S00141,Startup_141,Ed-tech,india,2020,5.0,300000.0,5000000.0,-100000.0,120.0,300000.0,low,8,3.0,,Success
S00142,Startup_142,FinTech,U.S.A,2014,1.0,100000.0,5000000.0,14148404.0,120.0,150000.0,high,3,2.3,Founder conflict,failed
S00143,Startup_143,Travel,Canada,2013,4.0,800000.0,,-100000.0,120.0,150000.0,Low,13,,,Success
S00144,Startup_144,Fintech,india,2020,1.0,100000.0,12000000.0,1490923.0,3.0,40000.0,Medium,4,2.3,Bad marketing,Success
S00145,Startup_145,HealthTech,Germany,2018,5.0,50000.0,200000.0,-100000.0,10.0,90000.0,High,7,,,Success
S00146,Startup_146,Ecommerce,Australia,2012,1.0,50000.0,12000000.0,,25.0,40000.0,low,13,3.8,Regulatory issues,Failed
S00147,Startup_147,Travel,India,2010,,50000.0,,-100000.0,,150000.0,High,15,3.8,,failed
S00148,Startup_148,Travel,U.S.A,2021,1.0,300000.0,5000000.0,,50.0,,Low,14,2.3,Cash flow issues,Failed
S00149,Startup_149,FinTech,UK,2023,4.0,50000.0,12000000.0,-100000.0,,,Medium,7,,Regulatory issues,failed
S00150,Startup_150,Energy,Australia,2018,3.0,300000.0,5000000.0,-100000.0,50.0,,Low,9,3.0,,Failed
S00151,Startup_151,RealEstate,Germany,2022,5.0,100000.0,,20913484.0,10.0,150000.0,High,13,4.5,Bad marketing,failed
S00152,Startup_152,FoodTech,USA,2014,3.0,1500000.0,200000.0,-100000.0,10.0,,Low,14,3.0,Cash flow issues,Failed
S00153,Startup_153,FoodTech,USA,2018,3.0,100000.0,12000000.0,24701054.0,3.0,,high,11,1.5,,failed
S00154,Startup_154,FoodTech,UK,2020,2.0,1500000.0,1000000.0,,5.0,150000.0,High,14,1.5,Bad marketing,failed
S00155,Startup_155,Travel,Australia,2020,1.0,1500000.0,12000000.0,20079711.0,120.0,90000.0,Low,2,,Poor financial planning,failed
S00156,Startup_156,Transport,U.S.A,2021,2.0,300000.0,1000000.0,,50.0,150000.0,low,12,3.0,Lack of market demand,Failed
S00157,Startup_157,Health Tech,UK,2017,,50000.0,5000000.0,4869540.0,300.0,40000.0,high,2,,Lack of market demand,Failed
S00158,Startup_158,RealEstate,USA,2011,2.0,1500000.0,5000000.0,,5.0,,Medium,7,3.8,Bad marketing,failed
S00159,Startup_159,SaaS,Germany,2016,,300000.0,12000000.0,16064435.0,300.0,300000.0,Low,4,2.3,Bad marketing,failed
S00160,Startup_160,AI,Australia,2014,1.0,800000.0,,-100000.0,50.0,300000.0,low,2,3.0,Regulatory issues,Success
S00161,Startup_161,FoodTech,India,2010,1.0,,200000.0,10385464.0,25.0,,High,3,4.5,,Success
S00162,Startup_162,Ecommerce,Australia,2020,1.0,800000.0,5000000.0,29230265.0,5.0,150000.0,high,15,2.3,Strong competition,Success
S00163,Startup_163,E commerce,India,2021,3.0,,1000000.0,25168088.0,50.0,40000.0,Medium,6,1.5,Poor financial planning,Failed
S00164,Startup_164,Health Tech,USA,2013,,1500000.0,5000000.0,-100000.0,300.0,300000.0,low,7,2.3,Strong competition,Failed
S00165,Startup_165,HealthTech,Germany,2019,2.0,300000.0,200000.0,-100000.0,3.0,300000.0,high,12,3.8,Founder conflict,Failed
S00166,Startup_166,Agritech,india,2016,5.0,300000.0,,,10.0,300000.0,Low,7,3.0,High burn rate,Success
S00167,Startup_167,RealEstate,india,2020,5.0,300000.0,5000000.0,-100000.0,10.0,90000.0,High,14,3.8,Cash flow issues,Success
S00168,Startup_168,E commerce,UK,2017,3.0,1500000.0,1000000.0,,50.0,300000.0,Low,4,3.8,High burn rate,Failed
S00169,Startup_169,HealthTech,Canada,2019,1.0,,,28874240.0,25.0,40000.0,low,13,2.3,Lack of market demand,Success
S00170,Startup_170,Transport,USA,2021,,800000.0,200000.0,-100000.0,,150000.0,Medium,11,,Poor financial planning,failed
S00171,Startup_171,Fintech,india,2015,2.0,300000.0,200000.0,,50.0,150000.0,Medium,8,1.5,,Failed
S00172,Startup_172,EdTech,UK,2014,1.0,50000.0,12000000.0,-100000.0,120.0,90000.0,Medium,10,2.3,Bad marketing,failed
S00173,Startup_173,FinTech,India,2023,,,1000000.0,-100000.0,300.0,300000.0,Low,1,2.3,Bad marketing,Success
S00174,Startup_174,Agritech,UK,2018,,,,,300.0,90000.0,high,13,,Founder conflict,Success
S00175,Startup_175,FoodTech,USA,2023,1.0,300000.0,,2290438.0,,150000.0,low,1,,Strong competition,failed
S00176,Startup_176,Health Tech,UK,2020,,800000.0,1000000.0,,50.0,,Medium,15,4.5,High burn rate,Success
S00177,Startup_177,Travel,Canada,2022,1.0,,1000000.0,12482362.0,300.0,90000.0,Low,3,1.5,Regulatory issues,Failed
S00178,Startup_178,Ecommerce,UK,2022,2.0,,,-100000.0,300.0,,High,12,4.5,High burn rate,failed
S00179,Startup_179,Fintech,U.S.A,2011,,800000.0,200000.0,-100000.0,300.0,,Medium,2,3.0,Bad marketing,Failed
S00180,Startup_180,Ed-tech,Canada,2022,3.0,,5000000.0,22224433.0,50.0,90000.0,High,14,,Bad marketing,Success
S00181,Startup_181,Ecommerce,Australia,2011,1.0,,5000000.0,,300.0,90000.0,Medium,9,1.5,Founder conflict,Success
S00182,Startup_182,SaaS,UK,2010,5.0,,1000000.0,6875794.0,10.0,,Low,4,2.3,,Success
S00183,Startup_183,Agritech,India,2010,2.0,800000.0,200000.0,,3.0,90000.0,Low,3,2.3,Bad marketing,Failed
S00184,Startup_184,SaaS,Germany,2018,,50000.0,200000.0,-100000.0,120.0,,high,2,1.5,Poor financial planning,failed
S00185,Startup_185,FinTech,U.S.A,2022,2.0,100000.0,1000000.0,19482541.0,5.0,,Medium,13,3.8,,failed
S00186,Startup_186,Agritech,india,2011,1.0,1500000.0,5000000.0,15267030.0,25.0,150000.0,Low,13,2.3,Founder conflict,failed
S00187,Startup_187,HealthTech,Canada,2017,,100000.0,12000000.0,17776916.0,5.0,300000.0,Medium,12,2.3,,Failed
S00188,Startup_188,SaaS,USA,2017,1.0,800000.0,200000.0,7384749.0,300.0,40000.0,low,12,3.0,Strong competition,Success
S00189,Startup_189,Ed-tech,UK,2021,5.0,,12000000.0,-100000.0,300.0,90000.0,Medium,4,3.0,Lack of market demand,Failed
S00190,Startup_190,Agritech,UK,2010,2.0,50000.0,1000000.0,7183428.0,5.0,40000.0,High,8,,Founder conflict,failed
S00191,Startup_191,HealthTech,U.S.A,2013,5.0,800000.0,1000000.0,-100000.0,300.0,40000.0,High,1,1.5,High burn rate,Failed
S00192,Startup_192,SaaS,UK,2012,,,1000000.0,12937837.0,120.0,90000.0,low,3,3.8,Regulatory issues,Failed
S00193,Startup_193,Energy,India,2011,5.0,1500000.0,,-100000.0,25.0,300000.0,Low,13,3.0,Founder conflict,Failed
S00194,Startup_194,Travel,India,2021,2.0,300000.0,5000000.0,,,40000.0,High,1,4.5,Cash flow issues,failed
S00195,Startup_195,HealthTech,U.S.A,2018,3.0,50000.0,,-100000.0,5.0,90000.0,Low,15,3.0,Cash flow issues,Failed
S00196,Startup_196,Ecommerce,Australia,2021,2.0,1500000.0,5000000.0,14733445.0,,300000.0,high,4,1.5,Founder conflict,Failed
S00197,Startup_197,HealthTech,UK,2022,,300000.0,5000000.0,-100000.0,300.0,150000.0,high,2,4.5,Poor financial planning,failed
S00198,Startup_198,RealEstate,UK,2012,4.0,800000.0,,-100000.0,5.0,40000.0,Low,7,3.8,Bad marketing,Failed
S00199,Startup_199,Travel,Australia,2015,4.0,100000.0,,-100000.0,25.0,40000.0,High,1,3.0,Lack of market demand,Success
S00200,Startup_200,RealEstate,Australia,2015,4.0,300000.0,5000000.0,-100000.0,50.0,40000.0,low,4,2.3,,Success
S00201,Startup_201,EdTech,Australia,2018,1.0,50000.0,1000000.0,,300.0,150000.0,High,1,,Lack of market demand,failed
S00202,Startup_202,Energy,Australia,2011,5.0,1500000.0,12000000.0,,5.0,40000.0,Low,12,2.3,Bad marketing,Success
S00203,Startup_203,Energy,India,2014,1.0,800000.0,1000000.0,,120.0,40000.0,Medium,13,3.8,Poor financial planning,failed
S00204,Startup_204,AI,India,2014,4.0,300000.0,12000000.0,-100000.0,5.0,40000.0,low,15,,Founder conflict,failed
S00205,Startup_205,HealthTech,India,2013,3.0,50000.0,5000000.0,13456055.0,25.0,300000.0,High,2,3.8,High burn rate,Success
S00206,Startup_206,Transport,Germany,2017,,,1000000.0,-100000.0,10.0,90000.0,low,2,3.8,Cash flow issues,failed
S00207,Startup_207,E commerce,USA,2022,,300000.0,200000.0,3898308.0,50.0,90000.0,Medium,15,3.0,,Failed
S00208,Startup_208,Agritech,India,2020,2.0,1500000.0,,,25.0,,Medium,5,3.8,Cash flow issues,Failed
S00209,Startup_209,Agritech,USA,2020,,50000.0,,,300.0,40000.0,High,2,,Poor financial planning,Failed
S00210,Startup_210,Health Tech,UK,2020,4.0,100000.0,,945698.0,3.0,300000.0,High,5,3.0,Cash flow issues,Failed
S00211,Startup_211,FinTech,Australia,2017,,800000.0,12000000.0,,25.0,40000.0,high,5,2.3,,Failed
S00212,Startup_212,Travel,Germany,2015,3.0,300000.0,1000000.0,-100000.0,120.0,90000.0,High,2,1.5,Regulatory issues,failed
S00213,Startup_213,E commerce,India,2018,,50000.0,12000000.0,,10.0,,high,1,3.8,Strong competition,failed
S00214,Startup_214,E commerce,India,2011,4.0,50000.0,1000000.0,,300.0,150000.0,Low,8,,,failed
S00215,Startup_215,E commerce,U.S.A,2021,4.0,800000.0,12000000.0,-100000.0,,40000.0,Medium,7,2.3,Cash flow issues,Failed
